"Name"	"start"	"end"	"chrom"
"5_8S_rRNA"	30484925	30485076	"chr20"
"5S_rRNA"	143439605	143439714	"chr1"
"7SK"	120228046	120228295	"chr1"
"A1BG"	58345178	58353499	"chr19"
"A1BG-AS1"	58347751	58355183	"chr19"
"A1CF"	50799409	50885675	"chr10"
"A2M"	9067664	9116229	"chr12"
"A2M-AS1"	9065177	9068060	"chr12"
"A2ML1"	8822472	8887001	"chr12"
"A2ML1-AS1"	8776219	8830947	"chr12"
"A2ML1-AS2"	8819816	8820713	"chr12"
"A2MP1"	9228533	9275817	"chr12"
"A3GALT2"	33306766	33321098	"chr1"
"A4GALT"	42692121	42721298	"chr22"
"A4GNT"	138123718	138132387	"chr3"
"AA06"	33529787	33533760	"chr17"
"AAAS"	53307456	53324864	"chr12"
"AACS"	125065379	125143333	"chr12"
"AACSP1"	178764861	178818435	"chr5"
"AADAC"	151814037	151828488	"chr3"
"AADACL2"	151733916	151761339	"chr3"
"AADACL2-AS1"	151751443	151928175	"chr3"
"AADACL3"	12716115	12728759	"chr1"
"AADACL4"	12644547	12667086	"chr1"
"AADACP1"	151770428	151784894	"chr3"
"AADAT"	170060222	170091699	"chr4"
"AAED1"	96639577	96655303	"chr9"
"AAGAB"	67201033	67255195	"chr15"
"AAK1"	69457995	69674349	"chr2"
"AAMDC"	77821109	77918432	"chr11"
"AAMP"	218264123	218270257	"chr2"
"AANAT"	76453351	76470117	"chr17"
"AAR2"	36236459	36270918	"chr20"
"AARD"	116938199	116944487	"chr8"
"AARS"	70252295	70289543	"chr16"
"AARS2"	44299654	44313326	"chr6"
"AARSD1"	42950526	42964498	"chr17"
"AARSP1"	132592084	132592536	"chr4"
"AASDH"	56338287	56387508	"chr4"
"AASDHPPT"	106075501	106098710	"chr11"
"AASS"	122075647	122144280	"chr7"
"AATF"	36948875	37056871	"chr17"
"AATK"	81117295	81166077	"chr17"
"AATK-AS1"	81165507	81183164	"chr17"
"AB015752.3"	90534611	90620070	"chr8"
"AB019438.66"	106436415	106436555	"chr14"
"AB019440.50"	106206603	106208571	"chr14"
"AB019441.29"	105978520	105979146	"chr14"
"ABAT"	8674565	8784575	"chr16"
"ABC7-481722F1.1"	37032	37477	"chr7"
"ABCA1"	104781002	104928237	"chr9"
"ABCA10"	69147214	69244846	"chr17"
"ABCA11P"	425435	474129	"chr4"
"ABCA12"	214931542	215138428	"chr2"
"ABCA13"	48171458	48647496	"chr7"
"ABCA17P"	2339150	2426699	"chr16"
"ABCA2"	137007227	137028922	"chr9"
"ABCA3"	2275881	2340746	"chr16"
"ABCA4"	93992835	94121132	"chr1"
"ABCA5"	69244311	69327244	"chr17"
"ABCA6"	69078702	69141888	"chr17"
"ABCA7"	1040101	1065572	"chr19"
"ABCA8"	68867292	68955392	"chr17"
"ABCA9"	68974488	69061064	"chr17"
"ABCA9-AS1"	69004714	69018323	"chr17"
"ABCB1"	87503633	87713323	"chr7"
"ABCB10"	229516582	229558695	"chr1"
"ABCB10P1"	23179869	23182049	"chr15"
"ABCB10P3"	28402868	28405033	"chr15"
"ABCB10P4"	28506625	28508808	"chr15"
"ABCB11"	168922938	169031322	"chr2"
"ABCB4"	87401697	87480435	"chr7"
"ABCB5"	20615207	20777038	"chr7"
"ABCB6"	219209768	219218990	"chr2"
"ABCB7"	75053172	75156732	"chrX"
"ABCB8"	151028422	151047782	"chr7"
"ABCB9"	122920951	122981649	"chr12"
"ABCC1"	15949577	16143074	"chr16"
"ABCC10"	43427366	43450430	"chr6"
"ABCC11"	48166910	48247568	"chr16"
"ABCC12"	48082973	48156018	"chr16"
"ABCC13"	14236206	14362754	"chr21"
"ABCC2"	99782732	99852192	"chr10"
"ABCC3"	50634777	50692252	"chr17"
"ABCC4"	95019829	95301433	"chr13"
"ABCC5"	183919934	184018015	"chr3"
"ABCC5-AS1"	184006338	184011419	"chr3"
"ABCC6"	16148928	16223522	"chr16"
"ABCC6P1"	18571162	18598328	"chr16"
"ABCC6P2"	14820792	14824702	"chr16"
"ABCC8"	17392885	17476845	"chr11"
"ABCC9"	21797401	21941402	"chr12"
"ABCD1"	153724868	153744762	"chrX"
"ABCD1P2"	38601418	38605609	"chr10"
"ABCD1P3"	32475051	32478250	"chr16"
"ABCD1P4"	16387694	16390887	"chr22"
"ABCD1P5"	91840601	91843802	"chr2"
"ABCD2"	39550033	39619751	"chr12"
"ABCD3"	94418455	94518666	"chr1"
"ABCD4"	74285423	74303056	"chr14"
"ABCE1"	145097932	145129179	"chr4"
"ABCF1"	30571376	30597179	"chr6"
"ABCF2"	151207837	151227230	"chr7"
"ABCF2P1"	88317156	88319022	"chr3"
"ABCF2P2"	72103181	72104209	"chr7"
"ABCF3"	184186023	184194012	"chr3"
"ABCG1"	42199689	42297244	"chr21"
"ABCG2"	88090264	88231322	"chr4"
"ABCG4"	119149012	119162653	"chr11"
"ABCG5"	43812472	43838865	"chr2"
